Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Schurmeier, Kimberly",CHEM 7L,SP23,235,105,0.902,0.902,6.46,3.52,3.22
"Schurmeier, Kimberly",CHEM 7L,SP23,232,91,0.8640000000000001,0.943,6.57,3.56,3.34
"Leigh, Brian",CHEM 7LM,SP23,177,83,0.9359999999999999,0.987,7.32,3.29,3.33
"Slade, Jonathan",CHEM 100A,WI23,143,72,0.845,0.845,7.74,3.34,3.64
"Pomeroy, Robert S.",CHEM 100B,WI23,27,10,0.9,0.9,7.3,2.6,3.06
"Young, Mark",CHEM 105A,WI23,41,14,0.7140000000000001,0.9229999999999999,9.79,3.36,2.89
"Young, Mark",CHEM 105A,WI23,40,20,0.526,0.647,11.7,3.05,3.2
"Haack, Daniel Brian",CHEM 108,WI23,49,28,0.667,0.7040000000000001,9.02,3.46,3.16
"Haack, Daniel Brian",CHEM 108,WI23,39,20,0.65,0.85,7.7,3.35,3.11
"Ghosh, Gairika",CHEM 109,WI23,48,23,0.826,0.7390000000000001,12.07,3.48,3.75
"Ghosh, Gairika",CHEM 109,WI23,36,20,0.9,0.85,8.2,3.7,3.89
"Huang, Xuemei",CHEM 11,WI23,301,139,0.789,0.725,3.87,3.29,2.83
"Bussey, Thomas J",CHEM 114A,WI23,106,43,0.976,1.0,7.48,3.13,2.32
"Budin, Itay",CHEM 114B,WI23,115,69,0.971,0.986,7.69,3.22,3.39
"Ghosh, Partho",CHEM 114B,WI23,77,51,0.96,0.96,7.52,2.96,2.8
"Komives, Elizabeth A",CHEM 114C,WI23,95,41,0.919,0.865,6.55,3.24,3.08
"Stauber, Julia Megan",CHEM 120A,WI23,81,74,0.865,0.892,6.97,3.01,2.7
"Amaro, Rommie E",CHEM 126A,WI23,81,37,0.914,0.971,6.84,3.36,3.35
"Kim, Judy E.",CHEM 126B,WI23,172,84,0.72,0.914,10.09,2.84,2.84
"Galperin, Michael",CHEM 131,WI23,103,36,0.6970000000000001,0.9059999999999999,7.83,3.0,2.71
"Pokorski, Jonathan Kyle",CHEM 134,WI23,20,9,1.0,1.0,4.72,3.67,3.43
"Weizman, Haim",CHEM 143B,WI23,92,40,0.625,0.775,6.8,2.68,3.02
"Donoghue, Daniel J.",CHEM 151,WI23,86,36,0.972,0.972,4.06,3.94,3.72
"Romero, Nathan A",CHEM 154,WI23,20,7,1.0,1.0,6.5,3.43,2.96
"Schmidt, Valerie A",CHEM 154,WI23,20,7,1.0,1.0,6.5,3.43,2.96
"Devaraj, Neal Krishna",CHEM 168,WI23,238,200,0.975,0.97,4.69,3.39,3.38
"Thiemens, Mark H",CHEM 172,WI23,47,13,0.917,0.917,3.17,3.58,3.41
"Klosterman, Jeremy K",CHEM 40A,WI23,177,147,0.575,0.466,9.34,2.7,2.62
"Albizati, Kim F.",CHEM 40A,WI23,207,90,0.92,0.9890000000000001,8.18,2.96,2.78
"Romero, Erik Anthony",CHEM 40B,WI23,218,191,0.518,0.584,9.46,2.59,2.59
"Weizman, Haim",CHEM 40B,WI23,288,251,0.758,0.919,8.51,2.99,2.96
"Burkart, Michael D",CHEM 40B,WI23,293,277,0.7290000000000001,0.7929999999999999,8.46,2.97,2.87
"Godula, Kamil",CHEM 40C,WI23,363,320,0.8029999999999999,0.972,7.07,3.08,2.94
"Klosterman, Jeremy K",CHEM 41B,WI23,264,232,0.638,0.569,9.11,2.74,2.76
"Lam, Tin Yiu",CHEM 43A,WI23,214,106,0.875,0.823,8.54,3.37,3.1
"Lam, Tin Yiu",CHEM 43A,WI23,220,95,0.802,0.9,8.57,3.19,3.03
"Tezcan, Faik",CHEM 6A,WI23,298,162,0.768,0.7120000000000001,6.54,2.64,2.15
"Hopkins, Patrycja Anna",CHEM 6A,WI23,379,171,0.9079999999999999,0.938,5.88,3.13,2.77
"Schurmeier, Kimberly",CHEM 6B,WI23,174,104,0.9390000000000001,0.99,7.05,3.34,3.13
"Leigh, Brian",CHEM 6B,WI23,235,134,0.9390000000000001,0.992,7.63,3.35,3.17
"Young, Mark",CHEM 6B,WI23,30,15,0.5329999999999999,0.4,6.5,3.0,2.79
"Kummel, Andrew C",CHEM 6B,WI23,147,78,0.878,0.8240000000000001,6.87,3.22,2.74
"Leigh, Brian",CHEM 6B,WI23,234,139,0.925,0.978,7.14,3.39,3.1
"Stallings, Dontarie M",CHEM 6B,WI23,246,144,0.9570000000000001,1.0,7.45,3.38,3.08
"Sailor, Michael Joseph",CHEM 6B,WI23,202,113,0.6729999999999999,0.5,7.72,3.05,2.91
"Yuen Zhou, Joel",CHEM 6BH,WI23,32,24,0.667,0.41700000000000004,8.17,2.96,3.4
"Albizati, Kim F.",CHEM 6C,WI23,252,84,0.872,0.9490000000000001,7.39,2.96,2.66
"Jazzar, Rodolphe",CHEM 7L,WI23,233,107,0.79,0.904,6.8,3.04,2.94
"Jazzar, Rodolphe",CHEM 7L,WI23,230,105,0.81,0.92,7.5,3.12,2.99
"Pomeroy, Robert S.",CHEM 100A,FA22,140,59,0.847,0.932,8.81,3.17,3.2
"Young, Mark",CHEM 105A,FA22,42,12,0.818,0.818,7.41,3.18,2.82
"Young, Mark",CHEM 105A,FA22,39,11,0.727,0.818,9.77,3.5,3.15
"Ghosh, Gourisankar",CHEM 108,FA22,46,17,0.882,0.47100000000000003,5.91,3.24,3.25
"Ghosh, Gourisankar",CHEM 108,FA22,47,10,1.0,0.889,6.75,3.5,3.04
"Button, Aileen C",CHEM 109,FA22,48,23,0.955,0.818,10.59,3.39,3.73
"Button, Aileen C",CHEM 109,FA22,45,25,0.833,0.958,10.25,3.67,3.85
"Toor, Navtej",CHEM 114A,FA22,248,102,0.768,0.758,6.46,3.04,2.75
"Ferguson, Fleur",CHEM 116,FA22,89,38,0.737,0.684,7.97,3.05,3.39
"Schimpf, Alina M",CHEM 120A,FA22,162,61,0.951,0.9840000000000001,5.78,3.1,2.73
"Schoeneberg, Johannes",CHEM 126A,FA22,192,115,0.684,0.737,7.24,2.89,2.76
"Sinha, Amitabha",CHEM 130,FA22,106,38,0.605,0.6579999999999999,9.13,2.79,2.91
"Esko, Jeffrey D.",CHEM 142,FA22,81,71,0.972,1.0,5.99,3.42,3.73
"Gagneux, Pascal",CHEM 142,FA22,81,71,0.972,0.972,5.99,3.42,3.73
"Godula, Kamil",CHEM 142,FA22,81,71,0.972,1.0,5.99,3.42,3.73
"Gordts, Philip",CHEM 142,FA22,81,71,0.972,0.986,5.99,3.42,3.73
"Klosterman, Jeremy K",CHEM 143C,FA22,49,15,0.9229999999999999,0.846,7.58,3.31,3.19
"Romero, Nathan A",CHEM 152,FA22,37,15,0.9329999999999999,0.7859999999999999,5.3,3.67,3.65
"Schmidt, Valerie A",CHEM 152,FA22,37,15,0.9329999999999999,0.929,5.3,3.67,3.65
"Slade, Jonathan",CHEM 171,FA22,108,38,0.9740000000000001,0.9740000000000001,4.34,3.42,3.12
"Bussey, Thomas J",CHEM 4,FA22,429,221,0.868,0.9309999999999999,5.81,2.99,2.86
"Schmidt, Valerie A",CHEM 40A,FA22,210,84,0.8809999999999999,0.94,8.29,3.09,2.84
"Lam, Tin Yiu",CHEM 40A,FA22,234,111,0.905,0.8540000000000001,7.09,3.3,2.97
"Albizati, Kim F.",CHEM 40A,FA22,269,105,0.816,0.941,8.48,3.21,2.88
"Yang, Jerry",CHEM 40A,FA22,262,112,0.609,0.636,8.88,2.82,2.98
"Oconnor, Joseph M.",CHEM 40B,FA22,297,108,0.451,0.451,8.8,2.64,2.51
"Lam, Tin Yiu",CHEM 40C,FA22,134,53,0.608,0.725,8.54,2.84,2.63
"Hopkins, Patrycja Anna",CHEM 41A,FA22,288,117,0.825,0.9470000000000001,8.45,3.1,3.23
"Klosterman, Jeremy K",CHEM 43A,FA22,224,188,0.7040000000000001,0.7040000000000001,8.77,3.24,3.09
"Klosterman, Jeremy K",CHEM 43A,FA22,230,181,0.74,0.68,9.14,3.16,2.97
"Pomeroy, Robert S.",CHEM 6A,FA22,135,62,0.8390000000000001,0.721,7.5,2.93,2.92
"Schurmeier, Kimberly",CHEM 6A,FA22,217,114,0.861,0.888,6.95,3.11,3.05
"Schurmeier, Kimberly",CHEM 6A,FA22,310,130,0.9259999999999999,0.9229999999999999,6.84,3.16,3.15
"Stallings, Dontarie M",CHEM 6A,FA22,312,172,0.9329999999999999,0.9690000000000001,6.83,3.17,3.09
"Brydges, Stacey",CHEM 6A,FA22,315,180,0.897,0.903,6.83,3.15,2.98
"Brydges, Stacey",CHEM 6A,FA22,318,193,0.8959999999999999,0.9059999999999999,6.42,3.33,3.06
"Zid, Brian M",CHEM 6A,FA22,317,154,0.885,0.9179999999999999,6.22,3.45,3.32
"Stallings, Dontarie M",CHEM 6A,FA22,317,182,0.955,0.978,6.67,3.26,3.3
"Paesani, Francesco",CHEM 6AH,FA22,81,53,0.8270000000000001,0.96,6.92,3.35,3.27
"Hopkins, Patrycja Anna",CHEM 6B,FA22,257,84,0.797,0.8959999999999999,6.13,2.95,2.97
"Albizati, Kim F.",CHEM 6C,FA22,347,122,0.9129999999999999,0.983,7.76,3.16,2.84
"Leigh, Brian",CHEM 7L,FA22,231,100,0.745,0.851,7.91,3.04,3.08
"Leigh, Brian",CHEM 7L,FA22,227,72,0.794,0.853,7.9,3.1,3.07
"Leigh, Brian",CHEM 7L,FA22,230,81,0.792,0.818,8.21,3.03,3.09
"Li, Shaowei",CHEM 100A,SP22,106,36,0.882,0.912,9.56,3.29,3.1
"Pomeroy, Robert S.",CHEM 100B,SP22,28,14,1.0,1.0,9.88,3.14,3.01
"Sinha, Amitabha",CHEM 105A,SP22,45,15,0.733,0.733,11.83,3.07,2.95
"Sinha, Amitabha",CHEM 105A,SP22,41,15,0.667,0.9329999999999999,10.37,2.71,2.85
"Jennings, Patricia A.",CHEM 108,SP22,48,18,0.765,0.647,4.74,3.59,3.88
"Jennings, Patricia A.",CHEM 108,SP22,47,15,0.867,0.733,8.23,3.13,3.6
"Muller, Ulrich K.",CHEM 109,SP22,35,8,0.875,0.875,7.5,3.5,3.77
"Muller, Ulrich K.",CHEM 109,SP22,45,15,0.9329999999999999,0.9329999999999999,8.77,3.53,3.83
"Mrse, Anthony Adrian",CHEM 11,SP22,257,115,0.7170000000000001,0.8759999999999999,5.01,2.96,2.68
"Komives, Elizabeth A",CHEM 114B,SP22,81,28,0.929,1.0,6.71,3.32,3.11
"Joseph, Simpson",CHEM 114C,SP22,232,83,0.878,0.753,6.55,3.24,2.82
"Donoghue, Daniel J.",CHEM 118,SP22,281,97,0.914,0.914,5.62,3.41,3.02
"Sailor, Michael Joseph",CHEM 120B,SP22,121,40,0.816,0.8109999999999999,6.76,3.03,2.66
"Tauber, Michael",CHEM 126B,SP22,96,32,0.7040000000000001,0.889,7.33,2.72,2.78
"Galperin, Michael",CHEM 132,SP22,82,23,0.522,0.696,7.2,2.65,2.53
"Ternansky, Robert J.",CHEM 143B,SP22,73,26,0.8079999999999999,0.654,7.73,3.12,3.2
"Burkart, Michael D",CHEM 157,SP22,67,47,0.7659999999999999,0.851,7.39,2.8,2.79
"Young, Mark",CHEM 173,SP22,58,14,0.7859999999999999,0.769,6.93,2.85,2.93
"Dickson, Andrew Gilmore",CHEM 174,SP22,36,12,0.75,0.833,7.33,2.92,3.01
"Albizati, Kim F.",CHEM 40A,SP22,265,102,0.773,0.9690000000000001,7.34,2.96,2.69
"Albizati, Kim F.",CHEM 40B,SP22,323,115,0.8440000000000001,0.963,7.93,3.1,2.65
"Siegel, Dionicio R.",CHEM 40B,SP22,352,147,0.862,0.956,7.16,3.12,2.56
"Lam, Tin Yiu",CHEM 40C,SP22,247,111,0.519,0.59,8.42,2.93,2.69
"Ternansky, Robert J.",CHEM 40C,SP22,144,68,0.682,0.7879999999999999,7.59,2.76,2.64
"Romero, Nathan A",CHEM 40CH,SP22,45,26,0.769,0.8079999999999999,6.88,3.04,3.52
"Klosterman, Jeremy K",CHEM 43A,SP22,207,176,0.665,0.6709999999999999,8.71,3.16,2.91
"Klosterman, Jeremy K",CHEM 43A,SP22,200,175,0.746,0.7979999999999999,8.63,3.14,2.95
"Buyanin, Alex",CHEM 6A,SP22,234,112,0.7020000000000001,0.602,6.96,2.6,2.05
"Young, Mark",CHEM 6B,SP22,221,84,0.526,0.34600000000000003,7.66,2.7,2.59
"Lam, Tin Yiu",CHEM 6B,SP22,231,115,0.772,0.735,7.55,2.9,2.62
"Pomeroy, Robert S.",CHEM 6C,SP22,168,121,0.884,0.785,6.57,3.21,2.65
"Brydges, Stacey",CHEM 6C,SP22,330,174,0.8240000000000001,0.865,7.23,3.33,3.51
"Jazzar, Rodolphe",CHEM 6C,SP22,277,148,0.925,0.903,6.85,3.16,2.98
"Stallings, Dontarie M",CHEM 6C,SP22,313,277,0.9420000000000001,0.971,6.52,3.38,2.77
"Leigh, Brian",CHEM 6C,SP22,317,263,0.912,0.9109999999999999,6.85,3.33,2.8
"Kubiak, Clifford Paul",CHEM 6CH,SP22,45,22,0.818,0.905,5.5,3.52,3.61
"Schurmeier, Kimberly",CHEM 7L,SP22,227,201,0.64,0.66,7.37,3.06,2.97
"Schurmeier, Kimberly",CHEM 7L,SP22,230,201,0.685,0.755,7.34,3.15,3.07
"Brydges, Stacey",CHEM 7LM,SP22,173,98,0.845,0.9259999999999999,10.78,3.43,3.53
"Slade, Jonathan",CHEM 100A,WI22,152,76,0.92,0.9329999999999999,8.69,3.41,3.41
"Pomeroy, Robert S.",CHEM 100B,WI22,29,11,0.727,0.818,11.23,3.18,3.09
"Young, Mark",CHEM 105A,WI22,36,13,0.636,0.909,9.17,3.5,3.01
"Young, Mark",CHEM 105A,WI22,37,18,0.389,0.833,9.28,2.89,3.23
"Hamaoka, Brent Y",CHEM 108,WI22,45,18,0.833,0.9440000000000001,10.83,3.28,3.32
"Hamaoka, Brent Y",CHEM 108,WI22,25,11,1.0,0.909,12.68,3.36,3.67
"McHugh, Colleen A",CHEM 109,WI22,50,29,0.897,0.966,9.33,3.76,3.67
"McHugh, Colleen A",CHEM 109,WI22,43,18,0.882,0.941,10.15,3.53,3.5
"Muller, Ulrich K.",CHEM 114A,WI22,158,69,0.809,0.7759999999999999,6.82,3.22,2.96
"Budin, Itay",CHEM 114B,WI22,284,129,0.96,0.9840000000000001,7.55,3.23,3.01
"Bodai, Zsolt",CHEM 115,WI22,22,13,0.846,0.9229999999999999,9.27,3.54,3.52
"Huang, Xuemei",CHEM 12,WI22,70,28,0.917,0.958,5.08,3.29,3.15
"Stauber, Julia Megan",CHEM 120A,WI22,47,36,0.917,0.917,6.39,3.06,2.32
"Amaro, Rommie E",CHEM 126A,WI22,114,46,0.9129999999999999,0.9570000000000001,6.07,3.49,3.19
"Paesani, Francesco",CHEM 126B,WI22,187,89,0.67,0.92,6.84,2.94,2.76
"Galperin, Michael",CHEM 131,WI22,93,47,0.745,0.851,8.33,2.57,2.59
"Weizman, Haim",CHEM 143B,WI22,136,56,0.618,0.655,6.75,2.96,3.41
"Donoghue, Daniel J.",CHEM 151,WI22,102,36,1.0,1.0,4.04,3.89,3.84
"Devaraj, Neal Krishna",CHEM 168,WI22,198,163,0.988,0.988,5.28,3.46,3.44
"Thiemens, Mark H",CHEM 172,WI22,81,25,1.0,0.96,3.25,3.54,3.33
"Oconnor, Joseph M.",CHEM 40A,WI22,192,65,0.5329999999999999,0.583,8.74,2.71,2.28
"Oconnor, Joseph M.",CHEM 40A,WI22,216,88,0.40700000000000003,0.47600000000000003,7.99,2.59,2.57
"Romero, Erik Anthony",CHEM 40B,WI22,302,156,0.40299999999999997,0.37200000000000005,9.04,2.76,2.7
"Klosterman, Jeremy K",CHEM 40B,WI22,323,299,0.586,0.573,9.93,2.71,2.74
"Molinski, Tadeusz",CHEM 40B,WI22,149,61,0.35100000000000003,0.21100000000000002,9.52,2.85,2.43
"Weizman, Haim",CHEM 40BH,WI22,77,44,0.929,0.976,7.96,3.44,3.67
"Godula, Kamil",CHEM 40C,WI22,205,181,0.856,0.978,6.53,3.29,2.9
"Albizati, Kim F.",CHEM 40C,WI22,71,25,0.84,1.0,7.08,3.09,2.75
"Ternansky, Robert J.",CHEM 43A,WI22,199,97,0.5479999999999999,0.441,7.6,2.84,3.24
"Ternansky, Robert J.",CHEM 43A,WI22,199,108,0.57,0.415,7.1,2.72,3.25
"Tezcan, Faik",CHEM 6A,WI22,285,175,0.669,0.58,6.71,2.75,2.5
"Jazzar, Rodolphe",CHEM 6A,WI22,304,149,0.93,0.9209999999999999,6.21,3.28,2.76
"Young, Mark",CHEM 6B,WI22,166,89,0.583,0.512,7.03,2.65,2.72
"Lam, Tin Yiu",CHEM 6B,WI22,230,124,0.9420000000000001,0.873,6.53,3.33,3.03
"Komor, Alexis C",CHEM 6B,WI22,270,226,0.9420000000000001,0.96,6.58,3.5,3.43
"Lam, Tin Yiu",CHEM 6B,WI22,234,145,0.892,0.862,6.79,3.3,3.09
"Nesbit, Mark Allen",CHEM 6B,WI22,241,156,0.742,0.693,6.29,3.2,3.54
"Stallings, Dontarie M",CHEM 6B,WI22,238,208,0.971,0.981,6.32,3.51,2.93
"Kummel, Andrew C",CHEM 6B,WI22,258,151,0.789,0.7959999999999999,7.19,3.23,2.9
"Paesani, Francesco",CHEM 6BH,WI22,63,47,0.9329999999999999,1.0,6.9,3.42,3.61
"Ghosh, Partho",CHEM 6C,WI22,240,105,0.825,0.932,6.33,2.9,2.12
"Leigh, Brian",CHEM 7L,WI22,245,109,0.779,0.865,7.65,3.13,3.1
"Leigh, Brian",CHEM 7L,WI22,247,125,0.787,0.852,7.76,3.26,3.08
"Pomeroy, Robert S.",CHEM 100A,FA21,153,81,0.934,0.9470000000000001,8.5,3.09,3.0
"Young, Mark",CHEM 105A,FA21,45,20,0.35,0.6,11.6,3.1,3.21
"Young, Mark",CHEM 105A,FA21,45,12,0.625,0.7140000000000001,7.83,2.78,2.93
"Ghosh, Gourisankar",CHEM 108,FA21,46,18,0.882,0.706,7.68,3.41,3.53
"Ghosh, Gourisankar",CHEM 108,FA21,47,23,0.727,0.7140000000000001,6.05,3.45,3.51
"Hamaoka, Brent Y",CHEM 109,FA21,47,34,0.912,0.912,10.68,3.56,3.73
"Hamaoka, Brent Y",CHEM 109,FA21,45,16,1.0,1.0,11.03,3.53,3.52
"Wang, Wei",CHEM 11,FA21,249,139,0.883,0.821,3.94,3.73,3.62
"Mishanina, Tatiana V",CHEM 113,FA21,82,71,0.93,1.0,6.47,3.42,3.35
"Toor, Navtej",CHEM 114A,FA21,280,134,0.775,0.721,6.56,3.06,3.02
"Godula, Kamil",CHEM 116,FA21,55,25,0.909,0.955,6.41,3.17,3.3
"Rinehart, Jeffrey Dennis",CHEM 120A,FA21,215,96,0.946,0.946,6.33,3.46,2.95
"Yuen Zhou, Joel",CHEM 126A,FA21,182,115,0.5589999999999999,0.591,9.1,2.83,2.85
"Sinha, Amitabha",CHEM 130,FA21,110,51,0.627,0.56,9.21,2.62,2.7
"Esko, Jeffrey D.",CHEM 142,FA21,43,19,0.8240000000000001,0.941,6.85,3.41,3.73
"Godula, Kamil",CHEM 142,FA21,43,19,0.8240000000000001,1.0,6.85,3.41,3.73
"Gordts, Philip",CHEM 142,FA21,43,19,0.8240000000000001,0.882,6.85,3.41,3.73
"Ternansky, Robert J.",CHEM 143C,FA21,77,27,0.92,0.92,7.3,3.38,3.3
"Theodorakis, Emmanuel",CHEM 152,FA21,30,18,1.0,1.0,6.28,3.39,3.38
"Slade, Jonathan",CHEM 171,FA21,131,63,0.937,0.937,4.47,3.7,3.32
"Bussey, Thomas J",CHEM 4,FA21,406,215,0.9129999999999999,0.951,5.74,3.04,2.85
"Hopkins, Patrycja Anna",CHEM 40A,FA21,200,89,0.828,0.897,7.08,3.1,2.76
"Bertrand, Guy",CHEM 40A,FA21,242,115,0.9,0.963,7.58,3.27,2.95
"Bertrand, Guy",CHEM 40A,FA21,315,150,0.9079999999999999,0.986,7.13,3.48,3.02
"Albizati, Kim F.",CHEM 40A,FA21,339,159,0.8029999999999999,0.8740000000000001,8.62,3.01,2.91
"Albizati, Kim F.",CHEM 40A,FA21,195,81,0.779,0.909,9.01,3.04,2.79
"Theodorakis, Emmanuel",CHEM 40B,FA21,320,136,0.654,0.877,7.77,2.5,2.75
"Ternansky, Robert J.",CHEM 40C,FA21,76,35,0.5760000000000001,0.636,8.63,2.5,2.53
"Klosterman, Jeremy K",CHEM 43A,FA21,272,250,0.7559999999999999,0.8270000000000001,8.36,3.13,2.9
"Klosterman, Jeremy K",CHEM 43A,FA21,244,218,0.7340000000000001,0.748,9.06,3.13,2.96
"Pomeroy, Robert S.",CHEM 6A,FA21,321,186,0.691,0.618,8.36,2.98,2.52
"Schurmeier, Kimberly",CHEM 6A,FA21,307,231,0.858,0.92,6.48,3.0,2.71
"Brydges, Stacey",CHEM 6A,FA21,314,164,0.8540000000000001,0.879,6.6,3.18,3.22
"Stallings, Dontarie M",CHEM 6A,FA21,312,258,0.922,0.9490000000000001,6.6,3.12,2.77
"Brydges, Stacey",CHEM 6A,FA21,309,179,0.8740000000000001,0.8740000000000001,7.21,3.07,3.15
"Schurmeier, Kimberly",CHEM 6A,FA21,334,274,0.88,0.8540000000000001,6.29,3.22,2.92
"Zid, Brian M",CHEM 6A,FA21,334,184,0.872,0.898,6.9,3.26,3.2
"Stallings, Dontarie M",CHEM 6A,FA21,341,284,0.893,0.907,6.41,3.23,2.98
"Bussey, Thomas J",CHEM 6A,FA21,351,195,0.93,0.9520000000000001,5.64,3.48,3.3
"Kim, Judy E.",CHEM 6AH,FA21,102,62,0.738,0.9179999999999999,8.3,3.17,3.31
"Lam, Tin Yiu",CHEM 6B,FA21,250,113,0.78,0.787,6.63,3.16,2.72
"Lam, Tin Yiu",CHEM 6C,FA21,358,146,0.6409999999999999,0.638,7.3,2.82,2.59
"Leigh, Brian",CHEM 7L,FA21,307,156,0.765,0.866,6.93,2.98,3.09
"Leigh, Brian",CHEM 7L,FA21,306,122,0.698,0.821,7.17,2.92,2.93
"Leigh, Brian",CHEM 7L,FA21,109,52,0.74,0.86,7.32,3.0,2.94
"Li, Shaowei",CHEM 100A,SP21,97,36,0.6859999999999999,0.7140000000000001,10.78,3.38,3.33
"Pomeroy, Robert S.",CHEM 100B,SP21,28,8,0.7140000000000001,1.0,9.75,3.29,3.33
"Pomeroy, Robert S.",CHEM 100B,SP21,26,4,0.75,1.0,7.5,2.75,3.57
"Sinha, Amitabha",CHEM 105A,SP21,43,25,0.48,0.64,11.7,3.0,3.01
"Sinha, Amitabha",CHEM 105A,SP21,40,24,0.45799999999999996,0.792,11.58,3.29,3.26
"Jennings, Patricia A.",CHEM 108,SP21,62,30,0.414,0.207,9.83,3.54,3.62
"Jennings, Patricia A.",CHEM 108,SP21,69,23,0.364,0.22699999999999998,9.05,3.11,3.67
"Mishanina, Tatiana V",CHEM 109,SP21,45,23,0.81,0.81,10.02,3.8,3.84
"Mishanina, Tatiana V",CHEM 109,SP21,42,16,0.938,1.0,9.38,3.5,3.83
"Wang, Wei",CHEM 11,SP21,247,146,0.938,0.917,4.69,3.64,3.6
"Komives, Elizabeth A",CHEM 114C,SP21,252,115,0.825,0.726,7.5,3.32,3.66
"Donoghue, Daniel J.",CHEM 118,SP21,272,119,0.897,0.922,6.53,3.51,3.5
"Kim, Judy E.",CHEM 126B,SP21,91,39,0.763,0.9470000000000001,8.72,3.28,3.02
"Hoeger, Carl",CHEM 13,SP21,30,9,1.0,0.889,7.83,3.22,2.98
"Xiong, Wei",CHEM 132,SP21,92,31,0.8,0.9329999999999999,8.91,2.84,3.0
"Ternansky, Robert J.",CHEM 143B,SP21,108,43,0.698,0.535,6.45,2.89,3.35
"Burkart, Michael D",CHEM 157,SP21,50,36,0.9440000000000001,0.972,6.89,3.44,3.54
